area,building_id,floor,floor_relative,site,site_relative,unit_id
60.0,57,1.0,1.0,Links,0.0,357
60.0,57,1.0,1.0,Rechts,1.0,358
60.0,57,2.0,2.0,Links,0.0,359
60.0,57,2.0,2.0,Rechts,1.0,360
60.0,57,0.0,0.0,Links,0.0,361
60.0,57,0.0,0.0,Rechts,1.0,362
60.0,57,1.0,1.0,Links,0.0,363
60.0,57,1.0,1.0,Rechts,1.0,364
60.0,57,2.0,2.0,Links,0.0,365
60.0,57,2.0,2.0,Rechts,1.0,366
60.0,57,0.0,0.0,Links,0.0,367
60.0,57,0.0,0.0,Rechts,1.0,368
58.0,58,1.0,1.0,Links,0.0,369
57.0,58,0.0,0.0,Links,0.0,372
57.0,58,0.0,0.0,Rechts,1.0,373
43.0,58,1.0,1.0,Links,0.0,374
43.0,58,1.0,1.0,Rechts,1.0,375
43.0,58,0.0,0.0,Links,0.0,377
43.0,58,0.0,0.0,Rechts,1.0,378
43.0,58,1.0,1.0,Links,0.0,379
43.0,58,1.0,1.0,Rechts,1.0,380
52.0,58,2.0,2.0,Links,0.0,381
43.0,58,0.0,0.0,Links,0.0,382
43.0,58,0.0,0.0,Rechts,1.0,383
52.0,58,2.0,2.0,,,688
55.0,21,2.0,2.0,Links,0.0,1397
55.0,21,2.0,2.0,Rechts,1.0,1396
59.0,21,1.0,1.0,Links,0.0,1395
65.0,45,1.0,1.0,Links,0.0,283
53.0,45,1.0,1.0,Mitte,1.0,284
65.0,45,1.0,1.0,Rechts,2.0,285
65.0,45,2.0,2.0,Links,0.0,286
53.0,45,2.0,2.0,Mitte,1.0,287
65.0,45,2.0,2.0,Rechts,2.0,288
75.0,26,1.0,1.0,Links,0.0,186
40.0,26,1.0,1.0,Mitte,1.0,187
61.0,26,1.0,1.0,Rechts,2.0,188
58.0,26,2.0,1.0,Links,0.0,189
58.0,26,2.0,1.0,Mitte,1.0,190
61.0,26,2.0,1.0,Rechts,2.0,191
77.0,26,3.0,2.0,Mitte,1.0,192
57.0,26,0.0,0.0,Links,0.0,193
57.0,26,0.0,0.0,Mitte,1.0,194
61.0,26,0.0,0.0,Rechts,2.0,195
57.0,17,1.0,1.0,Links,0.0,605
57.0,17,1.0,1.0,Rechts,1.0,606
57.0,17,2.0,2.0,Rechts,1.0,607
57.0,17,0.0,0.0,Links,0.0,608
57.0,17,0.0,0.0,Rechts,1.0,609
59.0,52,1.0,1.0,Links,0.0,631
53.0,52,1.0,1.0,Mitte,1.0,632
61.0,52,1.0,1.0,Rechts,2.0,633
59.0,52,2.0,1.0,Links,0.0,634
53.0,52,2.0,1.0,Mitte,1.0,635
61.0,52,2.0,1.0,Rechts,2.0,636
53.0,52,3.0,2.0,Links,0.0,637
44.0,52,3.0,2.0,Rechts,2.0,638
58.0,52,0.0,0.0,Links,0.0,639
53.0,52,0.0,0.0,Mitte,1.0,640
61.0,52,0.0,0.0,Rechts,2.0,641
57.0,17,0.0,0.0,Links,0.0,656
57.0,17,0.0,0.0,Rechts,1.0,657
57.0,17,1.0,1.0,Links,0.0,658
57.0,17,1.0,1.0,Rechts,1.0,659
57.0,17,2.0,2.0,Links,0.0,660
57.0,17,2.0,2.0,Rechts,1.0,661
57.0,17,2.0,2.0,Links,0.0,1641
65.0,45,0.0,0.0,Links,0.0,289
53.0,45,0.0,0.0,Mitte,1.0,290
65.0,45,0.0,0.0,Rechts,2.0,291
57.0,21,1.0,1.0,Rechts,1.0,1394
54.0,21,0.0,0.0,Rechts,1.0,1393
53.0,21,0.0,0.0,Links,0.0,1392
59.0,21,1.0,1.0,Rechts,1.0,1607
55.0,21,2.0,2.0,Links,0.0,1385
55.0,21,2.0,2.0,Rechts,1.0,1384
65.0,2,1.0,1.0,Links,0.0,12
53.0,2,1.0,1.0,Mitte,1.0,13
65.0,2,1.0,1.0,Rechts,2.0,14
65.0,2,2.0,2.0,Links,0.0,15
53.0,2,2.0,2.0,Mitte,1.0,16
65.0,2,2.0,2.0,Rechts,2.0,17
65.0,2,0.0,0.0,Links,0.0,18
53.0,2,0.0,0.0,Mitte,1.0,19
65.0,2,0.0,0.0,Rechts,2.0,20
54.0,21,0.0,0.0,Links,0.0,1383
76.0,38,0.0,0.0,Links,0.0,1429
65.0,53,1.0,1.0,Links,0.0,348
53.0,53,1.0,1.0,Mitte,1.0,349
65.0,53,1.0,1.0,Rechts,2.0,350
65.0,53,2.0,2.0,Links,0.0,351
53.0,53,2.0,2.0,Mitte,1.0,352
65.0,53,2.0,2.0,Rechts,2.0,353
65.0,53,0.0,0.0,Links,0.0,354
53.0,53,0.0,0.0,Mitte,1.0,355
65.0,53,0.0,0.0,Rechts,2.0,356
59.0,66,1.0,2.0,Links,0.0,384
42.0,66,1.0,2.0,Rechts,1.0,385
59.0,66,0.0,0.0,Links,0.0,386
42.0,66,0.0,0.0,Rechts,1.0,387
59.0,66,1.0,2.0,Links,0.0,388
42.0,66,1.0,2.0,Rechts,1.0,389
59.0,66,0.0,0.0,Links,0.0,390
42.0,66,0.0,0.0,Rechts,1.0,391
59.0,66,1.0,2.0,Links,0.0,392
42.0,66,1.0,2.0,Rechts,1.0,393
59.0,66,0.0,0.0,Links,0.0,394
42.0,66,0.0,0.0,Rechts,1.0,395
85.0,73,0.0,0.0,Rechts,1.0,429
53.0,73,0.0,0.0,Links,0.0,428
85.0,73,2.0,2.0,Rechts,1.0,427
53.0,73,2.0,2.0,Links,0.0,426
85.0,73,1.0,1.0,Rechts,1.0,425
59.0,4,1.0,2.0,Links,0.0,27
42.0,4,1.0,2.0,Rechts,1.0,28
59.0,4,0.0,0.0,Links,0.0,29
42.0,4,0.0,0.0,Rechts,1.0,30
59.0,4,1.0,2.0,Links,0.0,31
42.0,4,1.0,2.0,Rechts,1.0,32
59.0,4,0.0,0.0,Links,0.0,33
42.0,4,0.0,0.0,Rechts,1.0,34
59.0,4,1.0,2.0,Links,0.0,35
42.0,4,1.0,2.0,Rechts,1.0,36
59.0,4,0.0,0.0,Links,0.0,37
42.0,4,0.0,0.0,Rechts,1.0,38
73.0,10,1.0,1.0,Links,0.0,49
64.0,10,1.0,1.0,Rechts,1.0,50
73.0,10,2.0,2.0,Links,0.0,51
64.0,10,2.0,2.0,Rechts,1.0,52
72.0,10,0.0,0.0,Links,0.0,53
64.0,10,0.0,0.0,Rechts,1.0,54
65.0,14,1.0,1.0,Links,0.0,75
52.0,14,1.0,1.0,Rechts,1.0,76
66.0,14,2.0,1.0,Links,0.0,77
51.0,14,2.0,1.0,Rechts,1.0,78
66.0,14,3.0,1.0,Links,0.0,79
51.0,14,3.0,1.0,Rechts,1.0,80
66.0,14,4.0,2.0,Links,0.0,81
51.0,14,4.0,2.0,Rechts,1.0,82
65.0,14,0.0,0.0,Rechts,1.0,83
51.0,14,0.0,0.0,Links,0.0,646
57.0,16,1.0,1.0,Links,0.0,97
57.0,16,1.0,1.0,Rechts,1.0,98
57.0,16,2.0,2.0,Links,0.0,99
57.0,16,2.0,2.0,Rechts,1.0,100
57.0,16,0.0,0.0,Links,0.0,101
57.0,16,0.0,0.0,Rechts,1.0,102
57.0,16,1.0,1.0,Links,0.0,103
57.0,16,1.0,1.0,Rechts,1.0,104
57.0,16,2.0,2.0,Links,0.0,105
57.0,16,2.0,2.0,Rechts,1.0,106
57.0,16,0.0,0.0,Links,0.0,107
57.0,16,0.0,0.0,Rechts,1.0,108
65.0,18,1.0,1.0,Links,0.0,121
53.0,18,1.0,1.0,Mitte,1.0,122
65.0,18,1.0,1.0,Rechts,2.0,123
65.0,18,2.0,2.0,Links,0.0,124
53.0,18,2.0,2.0,Mitte,1.0,125
65.0,18,2.0,2.0,Rechts,2.0,126
65.0,18,0.0,0.0,Links,0.0,127
53.0,18,0.0,0.0,Mitte,1.0,128
65.0,18,0.0,0.0,Rechts,2.0,129
59.0,20,1.0,2.0,Links,0.0,130
42.0,20,1.0,2.0,Rechts,1.0,131
59.0,20,0.0,0.0,Links,0.0,132
42.0,20,0.0,0.0,Rechts,1.0,133
59.0,20,1.0,2.0,Links,0.0,134
42.0,20,1.0,2.0,Rechts,1.0,135
59.0,20,0.0,0.0,Links,0.0,136
42.0,20,0.0,0.0,Rechts,1.0,137
59.0,20,1.0,2.0,Links,0.0,138
42.0,20,1.0,2.0,Rechts,1.0,139
59.0,20,0.0,0.0,Links,0.0,140
42.0,20,0.0,0.0,Rechts,1.0,141
99.0,50,0.0,0.0,Rechts,1.0,318
99.0,50,0.0,0.0,Links,0.0,317
75.0,50,2.0,2.0,Rechts,1.0,316
75.0,50,2.0,2.0,Links,0.0,315
99.0,50,1.0,1.0,Rechts,1.0,314
99.0,50,1.0,1.0,Links,0.0,313
99.0,50,0.0,0.0,Rechts,1.0,324
99.0,50,0.0,0.0,Links,0.0,323
75.0,50,2.0,2.0,Rechts,1.0,322
75.0,50,2.0,2.0,Links,0.0,321
99.0,50,1.0,1.0,Rechts,1.0,320
99.0,50,1.0,1.0,Links,0.0,319
53.0,73,1.0,1.0,Links,0.0,424
66.0,73,0.0,0.0,Rechts,1.0,423
66.0,73,0.0,0.0,Links,0.0,422
66.0,73,2.0,2.0,Rechts,1.0,421
66.0,73,2.0,2.0,Links,0.0,420
66.0,73,1.0,1.0,Rechts,1.0,419
66.0,73,1.0,1.0,Links,0.0,418
51.0,28,0.0,0.0,Rechts,1.0,201
49.0,28,0.0,0.0,Links,0.0,200
45.0,28,2.0,2.0,Links,0.0,199
50.0,28,1.0,1.0,Rechts,1.0,198
50.0,28,1.0,1.0,Links,0.0,197
26.0,28,2.0,2.0,Rechts,1.0,196
49.0,28,0.0,0.0,Rechts,1.0,206
49.0,28,0.0,0.0,Links,0.0,205
50.0,28,1.0,1.0,Rechts,1.0,203
50.0,28,1.0,1.0,Links,0.0,202
44.0,24,0.0,0.0,Rechts,1.0,168
44.0,24,0.0,0.0,Links,0.0,167
43.0,24,2.0,2.0,Rechts,1.0,166
47.0,24,1.0,1.0,Rechts,1.0,165
47.0,24,1.0,1.0,Links,0.0,164
44.0,24,0.0,0.0,Rechts,1.0,173
44.0,24,0.0,0.0,Links,0.0,172
43.0,24,2.0,2.0,Links,0.0,171
47.0,24,1.0,1.0,Rechts,1.0,170
47.0,24,1.0,1.0,Links,0.0,169
77.0,47,0.0,0.0,Links,0.0,913
97.0,47,0.0,0.0,Rechts,1.0,914
77.0,47,1.0,1.0,Links,0.0,915
97.0,47,1.0,1.0,Rechts,1.0,916
50.0,47,2.0,2.0,Links,0.0,917
72.0,47,2.0,2.0,Rechts,1.0,918
97.0,47,0.0,0.0,Links,0.0,992
77.0,47,0.0,0.0,Rechts,1.0,993
97.0,47,1.0,1.0,Links,0.0,994
77.0,47,1.0,1.0,Rechts,1.0,995
72.0,47,2.0,2.0,Links,0.0,996
52.0,47,2.0,2.0,Rechts,1.0,997
66.0,39,1.0,1.0,Links,0.0,236
65.0,39,1.0,1.0,Rechts,1.0,237
67.0,39,2.0,1.0,Links,0.0,238
65.0,39,2.0,1.0,Rechts,1.0,239
66.0,39,3.0,1.0,Links,0.0,240
65.0,39,3.0,1.0,Rechts,1.0,241
66.0,39,4.0,2.0,Links,0.0,242
65.0,39,4.0,2.0,Rechts,1.0,243
66.0,39,0.0,0.0,Links,0.0,244
61.0,39,0.0,0.0,Rechts,1.0,245
43.0,13,0.0,0.0,Rechts,1.0,74
43.0,13,0.0,0.0,Links,0.0,73
43.0,13,1.0,1.0,Rechts,1.0,71
43.0,13,1.0,1.0,Links,0.0,70
43.0,13,0.0,0.0,Rechts,1.0,69
43.0,13,0.0,0.0,Links,0.0,68
43.0,13,1.0,1.0,Rechts,1.0,66
43.0,13,1.0,1.0,Links,0.0,65
54.0,23,0.0,0.0,Rechts,1.0,159
54.0,23,0.0,0.0,Links,0.0,158
57.0,23,2.0,2.0,Rechts,1.0,157
54.0,23,2.0,2.0,Links,0.0,156
54.0,23,1.0,1.0,Rechts,1.0,155
59.0,23,1.0,1.0,Links,0.0,154
54.0,23,0.0,0.0,Rechts,1.0,163
54.0,23,2.0,2.0,Rechts,1.0,162
57.0,23,2.0,2.0,Links,0.0,161
58.0,23,1.0,1.0,Links,0.0,160
58.0,38,0.0,0.0,Rechts,1.0,1430
76.0,38,1.0,2.0,Links,0.0,1431
58.0,38,1.0,2.0,Rechts,1.0,1432
58.0,38,0.0,0.0,Links,0.0,1433
58.0,38,0.0,0.0,Rechts,1.0,1434
58.0,38,1.0,2.0,Links,0.0,1435
58.0,38,1.0,2.0,Rechts,1.0,1436
58.0,38,0.0,0.0,Links,0.0,1456
58.0,38,0.0,0.0,Rechts,1.0,1457
58.0,38,1.0,2.0,Links,0.0,1458
58.0,38,1.0,2.0,Rechts,1.0,1459
59.0,7,0.0,0.0,Links,0.0,1439
58.0,7,0.0,0.0,Rechts,1.0,1440
59.0,7,1.0,2.0,Links,0.0,1441
58.0,7,1.0,2.0,Rechts,1.0,1442
58.0,7,0.0,0.0,Links,0.0,1508
58.0,7,0.0,0.0,Rechts,1.0,1509
58.0,7,1.0,2.0,Links,0.0,1510
58.0,7,1.0,2.0,Rechts,1.0,1511
58.0,7,0.0,0.0,Links,0.0,1574
58.0,7,0.0,0.0,Rechts,1.0,1575
58.0,7,1.0,2.0,Links,0.0,1576
58.0,7,1.0,2.0,Rechts,1.0,1577
76.0,74,0.0,0.0,Links,0.0,1495
58.0,74,0.0,0.0,Rechts,1.0,1496
76.0,74,1.0,2.0,Links,0.0,1497
58.0,74,1.0,2.0,Rechts,1.0,1498
58.0,74,0.0,0.0,Links,0.0,1518
58.0,74,0.0,0.0,Rechts,1.0,1519
58.0,74,1.0,2.0,Links,0.0,1520
58.0,74,1.0,2.0,Rechts,1.0,1521
58.0,74,0.0,0.0,Links,0.0,1578
58.0,74,0.0,0.0,Rechts,1.0,1579
58.0,74,1.0,2.0,Links,0.0,1580
58.0,74,1.0,2.0,Rechts,1.0,1581
49.0,46,0.0,0.0,Rechts,1.0,296
49.0,46,0.0,0.0,Links,0.0,295
50.0,46,1.0,1.0,Rechts,1.0,293
50.0,46,1.0,1.0,Links,0.0,292
49.0,46,0.0,0.0,Rechts,1.0,301
49.0,46,0.0,0.0,Links,0.0,300
50.0,46,1.0,1.0,Rechts,1.0,298
50.0,46,1.0,1.0,Links,0.0,297
,58,1.0,1.0,Rechts,1.0,642
,58,2.0,2.0,,,643
,57,0.0,0.0,Links,0.0,2410
,57,0.0,0.0,Rechts,1.0,2411
,57,1.0,1.0,Links,0.0,2412
,57,1.0,1.0,Rechts,1.0,2413
,57,2.0,2.0,Links,0.0,2414
,57,2.0,2.0,Rechts,1.0,2415
,57,0.0,0.0,Links,0.0,2695
,57,0.0,0.0,Rechts,1.0,2696
,57,1.0,1.0,Links,0.0,2697
,57,1.0,1.0,Rechts,1.0,2698
,57,2.0,2.0,Links,0.0,2699
,57,2.0,2.0,Rechts,1.0,2700
,38,0.0,0.0,Links,0.0,2577
,38,0.0,0.0,Rechts,1.0,2578
,38,1.0,2.0,Links,0.0,2579
,38,1.0,2.0,Rechts,1.0,2580
,38,0.0,0.0,Links,0.0,2585
,38,0.0,0.0,Rechts,1.0,2586
,38,1.0,2.0,Links,0.0,2587
,38,1.0,2.0,Rechts,1.0,2588
,38,0.0,0.0,Links,0.0,2642
,38,0.0,0.0,Rechts,1.0,2643
,38,1.0,2.0,Links,0.0,2644
,38,1.0,2.0,Rechts,1.0,2645
,7,0.0,0.0,Links,0.0,2482
,7,0.0,0.0,Rechts,1.0,2483
,7,1.0,2.0,Links,0.0,2484
,7,1.0,2.0,Rechts,1.0,2485
,7,0.0,0.0,Links,0.0,2581
,7,0.0,0.0,Rechts,1.0,2582
,7,1.0,2.0,Links,0.0,2583
,7,1.0,2.0,Rechts,1.0,2584
,7,0.0,0.0,Links,0.0,2589
,7,0.0,0.0,Rechts,1.0,2590
,7,1.0,2.0,Links,0.0,2591
,7,1.0,2.0,Rechts,1.0,2592
,74,0.0,0.0,Links,0.0,2394
,74,0.0,0.0,Rechts,1.0,2395
,74,1.0,2.0,Links,0.0,2396
,74,1.0,2.0,Rechts,1.0,2397
,74,0.0,0.0,Links,0.0,2427
,74,0.0,0.0,Rechts,1.0,2428
,74,1.0,2.0,Links,0.0,2429
,74,1.0,2.0,Rechts,1.0,2430
,74,0.0,0.0,Links,0.0,2543
,74,0.0,0.0,Rechts,1.0,2544
,74,1.0,2.0,Links,0.0,2545
,74,1.0,2.0,Rechts,1.0,2546
69.0,28,2.0,2.0,,,1114
56.0,13,2.0,2.0,,,1105
55.0,13,2.0,2.0,,,598
61.0,46,2.0,2.0,,,619
68.0,46,3.0,2.0,,,1075
,46,2.0,1.0,,,620
